"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES"
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-01",,,"39",",,M","34",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-02",,,"43",",,M","35",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-03",,,"39",",,M","23",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-04",,,"39",",,M","22",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-05",,,"27",",,M","17",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-06",,,"38",",,M","16",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-07",,,"33",",,M","15",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-08",,,"34",",,M","32",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-09",,,"33",",,M","29",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-10",,,"31",",,M","29",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-11",,,"32",",,M","24",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-12",,,"27",",,M","15",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-13",,,"38",",,M","12",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-14",,,"43",",,M","17",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-15",,,"50",",,M","27",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-16",,,"47",",,M","27",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-17",,,"50",",,M","21",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-18",,,"56",",,M","31",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-19",,,"53",",,M","28",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-20",,,"34",",,M","26",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-21",,,"33",",,M","26",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-22",,,"35",",,M","32",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-23",,,"36",",,M","33",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-24",,,"36",",,M","31",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-25",,,"33",",,M","29",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-26",,,"35",",,M","19",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-27",,,"41",",,M","17",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-28",,,"36",",,M","30",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-29",,,"38",",,M","24",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1997-12-31",,,"47",",,M","25",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-01",,,"56",",,M","36",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-02",,,"63",",,M","43",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-03",,,"61",",,M","26",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-04",,,"30",",,M","24",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-05",,,"34",",,M","29",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-06",,,"35",",,M","33",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-07",,,"33",",,M","30",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-08",,,"34",",,M","28",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-09",,,"28",",,M","11",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-10",,,"26",",,M","10",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-11",,,"28",",,M","22",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-12",,,"28",",,M","9",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-13",,,"25",",,M","5",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-14",,,"29",",,M","24",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-15",,,"30",",,M","25",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-16",,,"33",",,M","22",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-17",,,"50",",,M","16",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-18",,,"29",",,M","12",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-19",,,"32",",,M","8",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-20",,,"43",",,M","27",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-21",,,"33",",,M","25",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-22",,,"29",",,M","17",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-23",,,"42",",,M","16",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-24",,,"36",",,M","15",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-25",,,"51",",,M","29",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-26",,,"55",",,M","22",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-27",,,"61",",,M","29",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-28",,,"58",",,M","32",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-29",,,"51",",,M","28",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-30",,,"57",",,M","24",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-01-31",,,"57",",,M","29",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-01",,,"45",",,M","33",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-02",,,"36",",,M","31",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-03",,,"34",",,M","28",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-04",,,"31",",,M","21",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-05",,,"40",",,M","20",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-06",,,"42",",,M","24",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-07",,,"50",",,M","25",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-08",,,"53",",,M","19",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-09",,,"50",",,M","30",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-10",,,"46",",,M","35",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-11",,,"36",",,M","32",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-12",,,"47",",,M","25",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-13",,,"57",",,M","22",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-14",,,"56",",,M","31",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-15",,,"50",",,M","40",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-16",,,"43",",,M","37",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-17",,,"40",",,M","36",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-18",,,"41",",,M","28",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-19",,,"45",",,M","28",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-20",,,"44",",,M","33",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-21",,,"47",",,M","24",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-22",,,"58",",,M","37",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-23",,,"61",",,M","36",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-24",,,"64",",,M","30",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-25",,,"69",",,M","47",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-26",,,"55",",,M","35",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-27",,,"48",",,M","28",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-02-28",,,"35",",,M","28",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-01",,,"35",",,M","27",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-02",,,"37",",,M","27",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-03",,,"50",",,M","30",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-04",,,"45",",,M","24",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-05",,,"35",",,M","23",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-06",,,"46",",,M","18",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-07",,,"41",",,M","32",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-09",,,"32",",,M","11",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-10",,,"21",",,M","4",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-11",,,"16",",,M","-4",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-12",,,"30",",,M","-8",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-13",,,"55",",,M","21",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-14",,,"37",",,M","25",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-15",,,"36",",,M","29",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-16",,,"35",",,M","31",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-17",,,"39",",,M","35",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-18",,,"39",",,M","34",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-19",,,"34",",,M","33",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-20",,,"47",",,M","30",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-21",,,"55",",,M","23",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-22",,,"53",",,M","32",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-23",,,"48",",,M","29",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-24",,,"61",",,M","32",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-25",,,"85",",,M","47",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-26",,,"71",",,M","61",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-27",,,"66",",,M","49",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-28",,,"75",",,M","48",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-29",,,"77",",,M","62",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-30",,,"67",",,M","45",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-03-31",,,"49",",,M","37",",,M",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-04-01","47",",,W","60",",,W","34",",,W",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-04-02","47",",,W","64",",,W","29",",,W",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-04-03","43",",,W","49",",,W","37",",,W",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-04-04","45",",,W","50",",,W","40",",,W",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-04-05","48",",,W","63",",,W","33",",,W",,
"USW00013920","TOPEKA FORBES FIELD, KS US","1998-04-06","63",",,W","76",",,W","49",",,W",,
