"STATION","NAME","DATE","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN"
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-01","0.00",,"0.0","0.0","38","56","26",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-02","0.00",,"0.0","0.0","41","54","30",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-03","0.00",,"0.0","0.0","41","52","29",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-04","0.01",,"0.0","0.0","37","48","22",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-05","0.00",,"0.0","0.0","41","55","27",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-06","0.00",,"0.0","0.0","38","53","25",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-07","0.00",,"0.0","0.0","38","57","24",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-08","0.00",,"0.0","0.0","40","60","25",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-09","0.00",,"0.0","0.0","53","61","43",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-10","1.02",,"0.0","0.0","42","48","22",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-11","0.01",,"0.6","0.0","23","32","16",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-12","0.00",,"0.0","0.0","27","41","20",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-13","0.00",,"0.0","0.0","34","48","25",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-14","0.00",,"0.0","0.0","49","59","44",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-15","0.00",,"0.0","0.0","47","51","25",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-16","0.00",,"0.0","0.0","25","30","17",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-17","0.44",,"0.0","0.0","33","46","30",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-18","0.00",,"0.0","0.0","40","45","25",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-19","0.00",,"0.0","0.0","30","38","22",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-20","0.00",,"0.0","0.0","25","37","17",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-21","0.02",,"0.0","0.0","24","38","15",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-22","0.43",,"0.7","1.2","35","37","33",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-23","0.16",,"0.0","0.0","39","48","33",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-24","0.00",,"0.0","0.0","34","38","25",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-25","0.00",,"0.0","0.0","34","49","26",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-26","0.00",,"0.0","0.0","41","58","27",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-27","0.00",,"0.0","0.0","41","53","28",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-28","0.27","    0","1.2","0.0","35","35","32","    0"
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-29","0.01",,"0.2","1.2","33","40","26",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-30","0.00",,"0.0","0.0","30","38","22",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-01-31","0.00",,"0.0","0.0","36","50","26",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-01","0.00",,"0.0","0.0","38","62","23",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-02","0.00",,"0.0","0.0","50","76","32",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-03","0.00",,"0.0","0.0","49","55","34",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-04","0.00",,"0.0","0.0","32","34","28",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-05","0.00",,"0.0","0.0","29","31","26",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-06","0.00",,"0.0","0.0","29","41","15",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-07","0.01",,"0.0","0.0","35","49","25",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-08","0.00",,"0.0","0.0","36","53","23",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-09","0.00",,"0.0","0.0","47","54","31",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-10","0.00",,"0.0","0.0","35","45","28",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-11","0.00",,"0.0","0.0","39","45","32",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-12","0.37",,"2.1","0.0","34","36","23",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-13","0.00",,"0.0","1.2","19","23","9",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-14","0.00",,"0.0","0.0","17","35","10",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-15","0.00",,"0.0","0.0","37","49","31",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-16","0.00",,"0.0","0.0","40","55","27",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-17","0.00",,"0.0","0.0","50","67","39",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-18","0.00",,"0.0","0.0","42","48","32",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-19","0.00",,"0.0","0.0","36","43","29",
