,COOPID, YEAR, MONTH, DAY, precipitation
0,85663,1995,8,1,0.12
1,85663,1995,8,2,0.33
2,85663,1995,8,3,0.62
3,85663,1995,8,4,1.27
4,85663,1995,8,5,0.0
5,85663,1995,8,6,0.0
6,85663,1995,8,7,0.0
7,85663,1995,8,8,0.0
8,85663,1995,8,9,1.0
9,85663,1995,8,10,0.02
10,85663,1995,8,11,0.45
11,85663,1995,8,12,0.12
12,85663,1995,8,13,0.0
13,85663,1995,8,14,0.0
14,85663,1995,8,15,0.05
15,85663,1995,8,16,0.02
16,85663,1995,8,17,0.53
17,85663,1995,8,18,0.04
18,85663,1995,8,19,0.02
19,85663,1995,8,20,0.0
20,85663,1995,8,21,0.62
21,85663,1995,8,22,1.0
22,85663,1995,8,23,2.21
23,85663,1995,8,24,1.05
24,85663,1995,8,25,0.01
25,85663,1995,8,26,0.0
26,85663,1995,8,27,2.37
27,85663,1995,8,28,1.08
28,85663,1995,8,29,0.0
29,85663,1995,8,30,0.0
30,85663,1995,8,31,0.2
31,85663,1996,8,1,0.72
32,85663,1996,8,2,0.23
33,85663,1996,8,3,0.0
34,85663,1996,8,4,0.0
35,85663,1996,8,5,0.05
36,85663,1996,8,6,0.58
37,85663,1996,8,7,0.0
38,85663,1996,8,8,0.15
39,85663,1996,8,9,0.0
40,85663,1996,8,10,0.0
41,85663,1996,8,11,0.0
42,85663,1996,8,12,0.0
43,85663,1996,8,13,0.0
44,85663,1996,8,14,0.65
45,85663,1996,8,15,0.0
46,85663,1996,8,16,0.0
47,85663,1996,8,17,0.23
48,85663,1996,8,18,0.47
49,85663,1996,8,19,0.73
50,85663,1996,8,20,0.94
51,85663,1996,8,21,0.06
52,85663,1996,8,22,0.01
53,85663,1996,8,23,0.59
54,85663,1996,8,24,0.02
55,85663,1996,8,25,0.0
56,85663,1996,8,26,0.01
57,85663,1996,8,27,0.11
58,85663,1996,8,28,0.0
59,85663,1996,8,29,0.0
60,85663,1996,8,30,0.0
61,85663,1996,8,31,0.0
62,85663,1997,8,1,0.02
63,85663,1997,8,2,0.02
64,85663,1997,8,3,0.07
65,85663,1997,8,4,0.03
66,85663,1997,8,5,0.0
67,85663,1997,8,6,0.0
68,85663,1997,8,7,0.02
69,85663,1997,8,8,1.4
70,85663,1997,8,9,1.47
71,85663,1997,8,10,0.3
72,85663,1997,8,11,0.1
73,85663,1997,8,12,0.0
74,85663,1997,8,13,0.0
75,85663,1997,8,14,0.0
76,85663,1997,8,15,1.36
77,85663,1997,8,16,0.0
78,85663,1997,8,17,0.0
79,85663,1997,8,18,0.03
80,85663,1997,8,19,0.0
81,85663,1997,8,20,0.12
82,85663,1997,8,21,0.06
83,85663,1997,8,22,0.02
84,85663,1997,8,23,0.04
85,85663,1997,8,24,0.07
86,85663,1997,8,25,0.67
87,85663,1997,8,26,0.01
88,85663,1997,8,27,0.03
89,85663,1997,8,28,0.28
