,COOPID, YEAR, MONTH, DAY, meanTemp
0,85663,1995,8,1,81.5
1,85663,1995,8,2,82.0
2,85663,1995,8,3,78.5
3,85663,1995,8,4,78.0
4,85663,1995,8,5,82.5
5,85663,1995,8,6,84.0
6,85663,1995,8,7,84.5
7,85663,1995,8,8,84.5
8,85663,1995,8,9,86.0
9,85663,1995,8,10,83.5
10,85663,1995,8,11,85.0
11,85663,1995,8,12,84.5
12,85663,1995,8,13,86.5
13,85663,1995,8,14,86.5
14,85663,1995,8,15,88.5
15,85663,1995,8,16,87.0
16,85663,1995,8,17,86.0
17,85663,1995,8,18,87.0
18,85663,1995,8,19,87.0
19,85663,1995,8,20,86.0
20,85663,1995,8,21,84.5
21,85663,1995,8,22,83.0
22,85663,1995,8,23,81.5
23,85663,1995,8,24,78.0
24,85663,1995,8,25,84.0
25,85663,1995,8,26,84.0
26,85663,1995,8,27,83.0
27,85663,1995,8,28,85.0
28,85663,1995,8,29,87.0
29,85663,1995,8,30,86.5
30,85663,1995,8,31,84.5
31,85663,1996,8,1,83.0
32,85663,1996,8,2,84.5
33,85663,1996,8,3,84.5
34,85663,1996,8,4,86.5
35,85663,1996,8,5,86.0
36,85663,1996,8,6,83.5
37,85663,1996,8,7,86.0
38,85663,1996,8,8,81.0
39,85663,1996,8,9,83.0
40,85663,1996,8,10,84.0
41,85663,1996,8,11,84.5
42,85663,1996,8,12,85.0
43,85663,1996,8,13,85.0
44,85663,1996,8,14,84.0
45,85663,1996,8,15,85.0
46,85663,1996,8,16,84.0
47,85663,1996,8,17,83.0
48,85663,1996,8,18,82.5
49,85663,1996,8,19,80.5
50,85663,1996,8,20,80.5
51,85663,1996,8,21,81.0
52,85663,1996,8,22,80.0
53,85663,1996,8,23,80.0
54,85663,1996,8,24,81.0
55,85663,1996,8,25,81.0
56,85663,1996,8,26,82.0
57,85663,1996,8,27,80.0
58,85663,1996,8,28,82.5
59,85663,1996,8,29,83.5
60,85663,1996,8,30,84.0
61,85663,1996,8,31,85.0
62,85663,1997,8,1,84.5
63,85663,1997,8,2,84.5
64,85663,1997,8,3,83.0
65,85663,1997,8,4,84.5
66,85663,1997,8,5,85.5
67,85663,1997,8,6,85.0
68,85663,1997,8,7,86.0
69,85663,1997,8,8,84.0
70,85663,1997,8,9,81.5
71,85663,1997,8,10,83.0
72,85663,1997,8,11,84.5
73,85663,1997,8,12,85.5
74,85663,1997,8,13,85.0
75,85663,1997,8,14,85.0
76,85663,1997,8,15,84.5
77,85663,1997,8,16,84.5
78,85663,1997,8,17,86.5
79,85663,1997,8,18,86.5
80,85663,1997,8,19,87.0
81,85663,1997,8,20,86.5
82,85663,1997,8,21,84.5
83,85663,1997,8,22,84.5
84,85663,1997,8,23,86.5
85,85663,1997,8,24,82.0
86,85663,1997,8,25,82.5
87,85663,1997,8,26,81.0
88,85663,1997,8,27,83.0
89,85663,1997,8,28,82.0
90,85663,1997,8,29,83.5
91,85663,1997,8,30,84.0
92,85663,1997,8,31,83.0
93,85663,1998,8,1,83.0
94,85663,1998,8,2,84.5
95,85663,1998,8,3,85.5
96,85663,1998,8,4,84.5
97,85663,1998,8,5,84.5
98,85663,1998,8,6,80.0
99,85663,1998,8,7,84.0
100,85663,1998,8,8,85.5
101,85663,1998,8,9,87.0
102,85663,1998,8,10,86.0
103,85663,1998,8,11,86.0
104,85663,1998,8,12,83.5
105,85663,1998,8,13,85.0
106,85663,1998,8,14,82.0
107,85663,1998,8,15,84.0
108,85663,1998,8,16,85.0
109,85663,1998,8,17,84.5
110,85663,1998,8,18,83.5
111,85663,1998,8,19,83.0
112,85663,1998,8,20,85.5
113,85663,1998,8,21,84.0
114,85663,1998,8,22,84.5
115,85663,1998,8,23,86.0
116,85663,1998,8,24,85.5
117,85663,1998,8,25,86.5
118,85663,1998,8,26,86.0
119,85663,1998,8,27,85.5
120,85663,1998,8,28,86.0
121,85663,1998,8,29,86.0
122,85663,1998,8,30,85.0
123,85663,1998,8,31,88.0
124,85663,1999,8,1,85.0
125,85663,1999,8,2,85.5
126,85663,1999,8,3,84.5
127,85663,1999,8,4,80.5
128,85663,1999,8,5,82.5
129,85663,1999,8,6,83.5
130,85663,1999,8,7,85.0
131,85663,1999,8,8,85.5
132,85663,1999,8,9,83.5
133,85663,1999,8,10,85.0
134,85663,1999,8,11,83.5
135,85663,1999,8,12,83.5
136,85663,1999,8,13,84.0
137,85663,1999,8,14,79.5
138,85663,1999,8,15,83.0
139,85663,1999,8,16,86.0
140,85663,1999,8,17,83.0
141,85663,1999,8,18,82.0
142,85663,1999,8,19,83.5
143,85663,1999,8,20,82.5
144,85663,1999,8,21,82.5
145,85663,1999,8,22,79.5
146,85663,1999,8,23,80.0
147,85663,1999,8,24,82.0
148,85663,1999,8,25,84.5
149,85663,1999,8,26,84.0
150,85663,1999,8,27,86.0
151,85663,1999,8,28,86.5
152,85663,1999,8,29,86.0
153,85663,1999,8,30,85.0
154,85663,1999,8,31,83.0
155,85663,2000,8,1,82.5
156,85663,2000,8,2,81.5
157,85663,2000,8,3,82.5
158,85663,2000,8,4,85.0
159,85663,2000,8,5,84.0
160,85663,2000,8,6,80.0
161,85663,2000,8,7,85.5
162,85663,2000,8,8,85.5
163,85663,2000,8,9,83.5
164,85663,2000,8,10,85.5
165,85663,2000,8,11,85.0
166,85663,2000,8,12,85.0
167,85663,2000,8,13,84.5
168,85663,2000,8,14,83.0
169,85663,2000,8,15,84.0
170,85663,2000,8,16,82.5
171,85663,2000,8,17,83.0
172,85663,2000,8,18,83.5
173,85663,2000,8,19,80.5
174,85663,2000,8,20,83.0
175,85663,2000,8,21,83.5
176,85663,2000,8,22,85.5
177,85663,2000,8,23,87.0
178,85663,2000,8,24,86.5
179,85663,2000,8,25,82.5
180,85663,2000,8,26,81.0
181,85663,2000,8,27,79.5
182,85663,2000,8,28,79.5
183,85663,2000,8,29,85.0
184,85663,2000,8,30,84.0
185,85663,2000,8,31,81.5
186,85663,2001,8,1,78.5
187,85663,2001,8,2,80.0
188,85663,2001,8,3,77.5
189,85663,2001,8,4,81.0
190,85663,2001,8,5,81.5
191,85663,2001,8,6,82.0
192,85663,2001,8,7,85.5
193,85663,2001,8,8,85.0
194,85663,2001,8,9,85.0
195,85663,2001,8,10,84.0
196,85663,2001,8,11,84.0
197,85663,2001,8,12,85.0
198,85663,2001,8,13,86.0
199,85663,2001,8,14,86.5
200,85663,2001,8,15,86.0
201,85663,2001,8,16,86.5
202,85663,2001,8,17,86.0
203,85663,2001,8,18,86.5
204,85663,2001,8,19,87.5
205,85663,2001,8,20,85.0
206,85663,2001,8,21,83.5
207,85663,2001,8,22,81.5
208,85663,2001,8,23,82.5
209,85663,2001,8,24,85.0
210,85663,2001,8,25,85.0
211,85663,2001,8,26,87.0
212,85663,2001,8,27,85.0
213,85663,2001,8,28,86.0
214,85663,2001,8,29,86.0
215,85663,2001,8,30,86.5
216,85663,2001,8,31,87.0
217,85663,2002,8,1,86.0
218,85663,2002,8,2,85.5
219,85663,2002,8,3,84.0
220,85663,2002,8,4,85.0
221,85663,2002,8,5,85.5
222,85663,2002,8,6,83.5
223,85663,2002,8,7,80.0
224,85663,2002,8,8,80.5
225,85663,2002,8,9,82.0
226,85663,2002,8,10,82.5
227,85663,2002,8,11,83.5
228,85663,2002,8,12,83.5
229,85663,2002,8,13,86.0
230,85663,2002,8,14,85.0
231,85663,2002,8,15,85.0
232,85663,2002,8,16,86.5
233,85663,2002,8,17,84.0
234,85663,2002,8,18,84.5
235,85663,2002,8,19,84.0
236,85663,2002,8,20,82.5
237,85663,2002,8,21,84.0
238,85663,2002,8,22,84.0
239,85663,2002,8,23,85.0
240,85663,2002,8,24,84.0
241,85663,2002,8,25,84.0
242,85663,2002,8,26,83.5
243,85663,2002,8,27,82.0
244,85663,2002,8,28,82.0
245,85663,2002,8,29,84.0
246,85663,2002,8,30,83.5
247,85663,2002,8,31,84.5
248,85663,2003,8,1,84.0
249,85663,2003,8,2,85.0
250,85663,2003,8,3,81.5
251,85663,2003,8,4,84.5
252,85663,2003,8,5,83.0
253,85663,2003,8,6,83.5
254,85663,2003,8,7,84.0
255,85663,2003,8,8,83.0
256,85663,2003,8,9,83.0
257,85663,2003,8,10,85.0
258,85663,2003,8,11,82.5
259,85663,2003,8,12,83.5
260,85663,2003,8,13,84.0
261,85663,2003,8,14,82.0
262,85663,2003,8,15,84.5
263,85663,2003,8,16,84.5
264,85663,2003,8,17,82.5
265,85663,2003,8,18,84.5
266,85663,2003,8,19,82.5
267,85663,2003,8,20,76.0
268,85663,2003,8,21,81.5
269,85663,2003,8,22,83.5
270,85663,2003,8,23,84.0
271,85663,2003,8,24,84.0
272,85663,2003,8,25,84.0
273,85663,2003,8,26,82.5
274,85663,2003,8,27,83.5
275,85663,2003,8,28,79.5
276,85663,2003,8,29,83.5
277,85663,2003,8,30,85.0
278,85663,2003,8,31,82.0
279,85663,2004,8,1,82.0
280,85663,2004,8,2,81.5
281,85663,2004,8,3,80.0
282,85663,2004,8,4,83.5
283,85663,2004,8,5,81.0
284,85663,2004,8,6,82.0
285,85663,2004,8,7,81.5
286,85663,2004,8,8,83.0
287,85663,2004,8,9,83.5
288,85663,2004,8,10,84.5
289,85663,2004,8,11,86.0
290,85663,2004,8,12,84.5
291,85663,2004,8,13,82.5
292,85663,2004,8,14,85.0
293,85663,2004,8,15,85.5
294,85663,2004,8,16,86.0
295,85663,2004,8,17,85.0
296,85663,2004,8,18,84.0
297,85663,2004,8,19,86.0
298,85663,2004,8,20,85.0
299,85663,2004,8,21,85.0
300,85663,2004,8,22,82.5
301,85663,2004,8,23,82.0
302,85663,2004,8,24,83.0
303,85663,2004,8,25,82.5
304,85663,2004,8,26,84.5
305,85663,2004,8,27,85.0
306,85663,2004,8,28,85.0
307,85663,2004,8,29,85.0
308,85663,2004,8,30,85.0
309,85663,2004,8,31,86.5
310,85663,2005,8,1,87.5
311,85663,2005,8,2,87.0
312,85663,2005,8,3,85.0
313,85663,2005,8,4,87.5
314,85663,2005,8,5,82.5
315,85663,2005,8,6,83.0
316,85663,2005,8,7,84.0
317,85663,2005,8,8,83.5
318,85663,2005,8,9,86.0
319,85663,2005,8,10,85.0
320,85663,2005,8,11,86.0
321,85663,2005,8,12,87.0
322,85663,2005,8,13,84.5
323,85663,2005,8,14,84.5
324,85663,2005,8,15,85.5
325,85663,2005,8,16,88.0
326,85663,2005,8,17,87.0
327,85663,2005,8,18,87.5
328,85663,2005,8,19,87.5
329,85663,2005,8,20,86.5
330,85663,2005,8,21,86.5
331,85663,2005,8,22,85.5
332,85663,2005,8,23,84.0
333,85663,2005,8,24,86.0
334,85663,2005,8,25,78.5
335,85663,2005,8,26,80.0
336,85663,2005,8,27,82.5
337,85663,2005,8,28,85.5
338,85663,2005,8,29,86.5
339,85663,2005,8,30,87.0
340,85663,2005,8,31,84.5
